name,multiplier,const,r-squared,linearity_type
fishy_cat,0.18883698766912627,2.8328150467401891,0.99988968695705394,sample
fishy_cat,0.17193439942500446,2.8628793126082885,0.99986593404659985,sample
fishy_cat,0.048665097105132588,2.8801834834797924,0.99822049260162371,sample
fishy_cat,0.040266104999208303,2.8721370653797664,0.9972424225644605,sample
fishy_cat,0.20878173003071257,2.8657668426597906,0.9999074040571222,sample
fishy_cat,0.18158959648188228,2.6363968181494202,0.99980550815980818,sample
fishy_cat,0.06827783348762223,2.9838423646863022,0.99925111891878748,sample
fishy_cat,0.040222995367429258,2.9509187404009856,0.99716821036387149,sample
fishy_cat,0.23102255364342142,2.9301312995084601,0.99992431556294448,sample
fishy_cat,0.37995107935571271,2.8561227403964011,0.99996380050297362,sample
fishy_cat,0.20391341611191999,2.830517084507314,0.9998977364290067,sample
fishy_cat,0.039822934326280916,2.8612307571728417,0.99740269464389253,sample
fishy_cat,0.21460014313212628,2.6518472505710071,0.99990412666954354,sample
fishy_cat,0.1420181076556892,2.9949801984805524,0.99981138927945334,sample
fishy_cat,0.066772327491942424,2.9272889250467307,0.99898599198062843,sample
fishy_cat,0.039552776671229584,2.8098642448374669,0.9973792132598589,sample
calafate,0.054287136028115378,-0.20509359894987503,0.99994369235700387,sample
calafate,0.045365628256275853,-0.078564498202407837,0.99997276057966333,sample
calafate,0.017568840440953821,-0.015603690870065405,0.99995754768813871,sample
calafate,0.0076412187700342412,0.0022768934182693613,0.9999159392308129,sample
calafate,0.080222150224989727,-0.12070488799274438,0.99997737892068916,sample
calafate,0.08885610391545111,-0.17490838285314644,0.99998590041152546,sample
calafate,0.072437225462034349,-0.078019498687058847,0.99997124906344803,sample
calafate,0.038445897098386153,0.037512919851641791,0.99994038371507066,sample
calafate,0.10948280174330702,-0.20111190809195242,0.99997911303916798,sample
calafate,0.10266627764073818,-0.28434284980125757,0.99997942303060328,sample
calafate,0.075799848917834339,-0.060827836333277166,0.9999784552276817,sample
calafate,0.020544944683978026,0.010078627760940644,0.99996406745556377,sample
calafate,0.041180269537702804,-0.022342065577755803,0.99994564385397167,sample
calafate,0.030588856614859914,-0.068497836517697835,0.99993418685963376,sample
calafate,0.025379663857750267,0.021029666800087287,0.99990633519238459,sample
calafate,0.0075384571070421617,0.0088410832442147851,0.9998781082806758,sample
scene-Helicopter-27,0.024177647250377233,-0.10909416206151441,0.9999516472509159,sample
scene-Helicopter-27,0.024784400939401513,-0.053477084427480961,0.99998723354435104,sample
scene-Helicopter-27,0.022956642347908288,-0.10181344037781993,0.99995358927318956,sample
scene-Helicopter-27,0.023301614901851894,-0.072762511973206323,0.9999697314594026,sample
scene-Helicopter-27,0.040684600855040262,-0.080809594926227565,0.99998648108188326,sample
scene-Helicopter-27,0.057195596884544217,-0.030129784302428173,0.99998566113941934,sample
scene-Helicopter-27,0.043781392172169011,-0.061132364607490247,0.99998560250341406,sample
scene-Helicopter-27,0.024341165690342829,-0.085410795240692755,0.99997639566624608,sample
scene-Helicopter-27,0.036797603939974471,-0.087747929308927053,0.99997577643524738,sample
scene-Helicopter-27,0.056805545768202986,-0.064518619489061971,0.9999768803321335,sample
scene-Helicopter-27,0.067097956307177548,-0.10797056295957781,0.99998051784198727,sample
scene-Helicopter-27,0.026478987192828925,-0.029134071460661284,0.99991103021117433,sample
scene-Helicopter-27,0.023944042969696398,-0.056445890634421597,0.99997993331719859,sample
scene-Helicopter-27,0.024423761542310501,-0.076099403770962748,0.99997239341302147,sample
scene-Helicopter-27,0.025012344476238131,-0.074255062345567946,0.99997825980284927,sample
scene-Helicopter-27,0.02413598724152961,-0.050438849421327862,0.99996145786264845,sample
TeeglasFX_27,0.040952794028390818,0.013141745513298293,0.99998405011008484,sample
TeeglasFX_27,0.044676171873367622,-0.064266974293449908,0.99997704530922427,sample
TeeglasFX_27,0.076473702000684027,0.044942557559649703,0.9999860284456723,sample
TeeglasFX_27,0.041184444595492399,0.026881431010711034,0.9999813048498255,sample
TeeglasFX_27,0.10963401311562333,0.082985742427158823,0.99998875044646662,sample
TeeglasFX_27,0.11029475138925712,0.16344027262935013,0.99997465125190221,sample
TeeglasFX_27,0.11396371886194197,-0.097743068743957662,0.99999523333897722,sample
TeeglasFX_27,0.084248836043910882,-0.020863901904936446,0.99999869713654665,sample
TeeglasFX_27,0.10698937855804078,0.0089831002096980306,0.99999095715162867,sample
TeeglasFX_27,0.11269597834737918,0.11090089155404444,0.99997585517094079,sample
TeeglasFX_27,0.12226282895514488,-0.039128965162094534,0.99999885173050163,sample
TeeglasFX_27,0.090961363428404149,-0.021348947295017379,0.99999935007378105,sample
TeeglasFX_27,0.040789987307224627,0.01719987014367514,0.99999064448933872,sample
TeeglasFX_27,0.043091325273507119,0.033814956468938034,0.99999062490421053,sample
TeeglasFX_27,0.078745120868938839,-0.024411912778862652,0.99999748760872931,sample
TeeglasFX_27,0.037881375215656099,0.025190379117891851,0.99999387756632707,sample
calafate,106.79935195220254,1.7256152165182888,0.99968852283641174,ratio
calafate,89.043669427420681,1.4997091808425598,0.99996752576969028,ratio
calafate,34.319855901455504,0.83341131945191715,0.99957073262161711,ratio
calafate,15.065440479726169,0.14797903969867329,0.99994156267420153,ratio
calafate,158.51012878632176,1.6723610544065743,0.99990397689786847,ratio
calafate,174.84755788957844,2.5113597614655592,0.99986761005146296,ratio
calafate,142.24702506245973,2.5782088956719207,0.99986180374987255,ratio
calafate,75.935944496743687,0.80574481937221587,0.99996021557910353,ratio
calafate,216.59739914520139,1.9972988945357513,0.99995328807088057,ratio
calafate,202.48397220549543,2.5577824310617463,0.99996239520926533,ratio
calafate,149.04712691255071,2.1098326340727174,0.99985193689459861,ratio
calafate,39.814742589623826,1.0584903791351306,0.999504187726454,ratio
calafate,81.229715959689671,0.83065884403455548,0.99984191753212648,ratio
calafate,59.380950768375712,1.6140764958597658,0.99954612226376871,ratio
calafate,49.006052310997276,1.531557511766535,0.99985094539346042,ratio
calafate,14.881976794113061,0.11988119878613254,0.99990010729848444,ratio
scene-Helicopter-27,47.823478922069711,0.44096292964960765,0.99989368996292316,ratio
scene-Helicopter-27,49.070220637784089,0.44812182502307457,0.99997467355195024,ratio
scene-Helicopter-27,45.438839878155299,0.37809652395682797,0.99993639306163851,ratio
scene-Helicopter-27,46.214201839734955,0.31232802077855787,0.99997399317362534,ratio
scene-Helicopter-27,79.87266557378031,1.3182051388288365,0.99975142513675608,ratio
scene-Helicopter-27,112.92050407707909,1.327956005625065,0.99996794915592857,ratio
scene-Helicopter-27,86.215797006577134,1.1716464203418144,0.99988218489762581,ratio
scene-Helicopter-27,48.354710108015389,0.24045643328181854,0.99997684522065367,ratio
scene-Helicopter-27,72.411778661552901,1.070439994030447,0.99979945472621068,ratio
scene-Helicopter-27,111.85872488825207,1.4239409731460129,0.99978696821114688,ratio
scene-Helicopter-27,132.14625469927751,1.6807560365478895,0.99990999243958112,ratio
scene-Helicopter-27,52.437985836480749,0.30557296127786993,0.99999525198161809,ratio
scene-Helicopter-27,47.434221677948294,0.37351347259808076,0.99990821868542945,ratio
scene-Helicopter-27,48.376265949098915,0.35982405298103726,0.99994716011881635,ratio
scene-Helicopter-27,49.593152023947795,0.30789841772133919,0.99997287898478115,ratio
scene-Helicopter-27,47.658519209305254,0.44546811691598692,0.99993301893083153,ratio
TeeglasFX_27,80.315963391502805,1.4123974947527396,0.99978424855811043,ratio
TeeglasFX_27,87.911298822637988,1.5539171094268078,0.99988630393057476,ratio
TeeglasFX_27,150.65202142372573,2.0591989753353976,0.99991099281950613,ratio
TeeglasFX_27,79.577520921762925,2.3654277554309462,0.99930390794856661,ratio
TeeglasFX_27,216.34362732313505,2.4684986934947859,0.99994057384451851,ratio
TeeglasFX_27,217.61560043638156,2.6656966446972881,0.99989598120460343,ratio
TeeglasFX_27,225.80447411562531,2.1539481787882,0.99997005036111908,ratio
TeeglasFX_27,166.15488991275268,2.1490344845005032,0.99987824031119921,ratio
TeeglasFX_27,210.64629516010513,2.9597390698393062,0.99993917543062782,ratio
TeeglasFX_27,222.27333527472865,2.7302799645692128,0.99995475373986542,ratio
TeeglasFX_27,241.92840981972154,2.5289781815449013,0.9999929089563987,ratio
TeeglasFX_27,180.17721574995122,1.7188035661123511,0.99990700604993077,ratio
TeeglasFX_27,80.046002935513812,1.2881828821032992,0.99984923463465813,ratio
TeeglasFX_27,84.867244787598878,1.2251479103436034,0.99993320262773278,ratio
TeeglasFX_27,155.56271413109801,1.6207348635022039,0.9998684557017733,ratio
TeeglasFX_27,73.72480889766446,1.7936494880999474,0.999672621074156,ratio
